id,"name","code",isBan,level,sort,"description"
377,"兆易创新","",0,0,95,""
378,"宏达电子","",0,0,70,""
379,"上汽集团","",0,0,138,""
380,"东方盛虹","",0,0,69,""
381,"高德红外","",0,0,45,""
382,"特锐德","",0,0,71,""
383,"火炬电子","",0,0,72,""
384,"美团-W","",0,0,266,""
385,"顺丰控股","",0,0,74,""
386,"舜宇光学科技","",0,0,145,""
387,"迈瑞医疗","",0,0,260,""
388,"碧水源","",0,0,75,""
389,"福斯特","",0,0,78,""
390,"三安光电","",0,0,76,""
391,"迈为股份","",0,0,82,""
392,"三利谱","",0,0,80,""
393,"德赛西威","",0,0,257,""
394,"国轩高科","",0,0,81,""
395,"雅克科技","",0,0,79,""
396,"圣邦股份","",0,0,106,""
397,"恒生电子","",0,0,129,""
398,"嘉元科技","",0,0,83,""
399,"宝钛股份","",0,0,84,""
400,"爱尔眼科","",0,0,213,""
401,"睿创微纳","",0,0,87,""
402,"长川科技","",0,0,97,""
403,"中环股份","",0,0,85,""
404,"北方稀土","",0,0,88,""
405,"钢研高纳","",0,0,90,""
406,"抚顺特钢","",0,0,73,""
407,"诺德股份","",0,0,86,""
408,"海康威视","",0,0,103,""
409,"三角防务","",0,0,91,""
410,"比亚迪股份","",0,0,92,""
411,"天原股份","",0,0,94,""
412,"锦浪科技","",0,0,105,""
413,"瑞芯微","",0,0,99,""
414,"宝信软件","",0,0,97,""
415,"XD兖州煤","",0,0,112,""
416,"中芯国际","",0,0,101,""
417,"深信服","",0,0,211,""
418,"天合光能","",0,0,102,""
419,"香港交易所","",0,0,110,""
420,"东方日升","",0,0,104,""
421,"寒锐钴业","",0,0,107,""
422,"京东方Ａ","",0,0,108,""
423,"固德威","",0,0,114,""
424,"中国铝业","",0,0,111,""
425,"华峰测控","",0,0,112,""
426,"广信股份","",0,0,110,""
427,"远兴能源","",0,0,113,""
428,"五 粮 液","",0,0,160,""
429,"山东黄金","",0,0,115,""
430,"柳药股份","",0,0,117,""
431,"药明康德","",0,0,227,""
432,"华虹半导体","",0,0,118,""
433,"卫星石化","",0,0,109,""
434,"完美世界","",0,0,116,""
435,"中国神华","",0,0,119,""
436,"鹏辉能源","",0,0,120,""
437,"中航机电","",0,0,121,""
438,"贵州茅台","",0,0,151,""
439,"潞安环能","",0,0,122,""
440,"紫天科技","",0,0,124,""
441,"融捷股份","",0,0,125,""
442,"新集能源","",0,0,127,""
443,"陕西煤业","",0,0,128,""
444,"桐昆股份","",0,0,126,""
445,"英科医疗","",0,0,127,""
446,"明泰铝业","",0,0,131,""
447,"南山铝业","",0,0,132,""
448,"拓普集团","",0,0,157,""
449,"特变电工","",0,0,133,""
450,"智飞生物","",0,0,174,""
451,"航亚科技","",0,0,134,""
452,"斯迪克","",0,0,136,""
453,"帝尔激光","",0,0,137,""
454,"赛轮轮胎","",0,0,135,""
455,"威海广泰","",0,0,139,""
456,"甬金股份","",0,0,140,""
457,"利君股份","",0,0,141,""
458,"美的集团","",0,0,141,""
459,"中微公司","",0,0,143,""
460,"北汽蓝谷","",0,0,142,""
461,"德方纳米","",0,0,142,""
462,"新泉股份","",0,0,144,""
463,"广汽集团","",0,0,146,""
464,"西部矿业","",0,0,146,""
465,"芯源微","",0,0,147,""
466,"中国中免","",0,0,173,""
467,"中孚信息","",0,0,164,""
468,"富瀚微","",0,0,152,""
469,"青岛啤酒","",0,0,149,""
470,"龙蟠科技","",0,0,150,""
471,"小康股份","",0,0,152,""
472,"正泰电器","",0,0,153,""
473,"捷顺科技","",0,0,190,""
474,"芒果超媒","",0,0,161,""
475,"新北洋","",0,0,193,""
476,"兴发集团","",0,0,154,""
477,"华鲁恒升","",0,0,130,""
478,"亿联网络","",0,0,166,""
479,"长春高新","",0,0,279,""
480,"普洛药业","",0,0,156,""
481,"德业股份","",0,0,155,""
482,"精达股份","",0,0,158,""
483,"山西焦煤","",0,0,159,""
484,"九洲药业","",0,0,162,""
485,"山西汾酒","",0,0,182,""
486,"天融信","",0,0,164,""
487,"思瑞浦","",0,0,165,""
488,"拓邦股份","",0,0,167,""
489,"美锦能源","",0,0,169,""
490,"永创智能","",0,0,168,""
491,"海优新材","",0,0,175,""
492,"中信博","",0,0,177,""
493,"震裕科技","",0,0,178,""
494,"中国长城","",0,0,180,""
495,"旗滨集团","",0,0,181,""
496,"国电南瑞","",0,0,183,""
497,"宇瞳光学","",0,0,184,""
498,"长江电力","",0,0,185,""
499,"中兴通讯","",0,0,179,""
500,"酒鬼酒","",0,0,197,""
501,"药石科技","",0,0,271,""
502,"宇通客车","",0,0,182,""
503,"华阳股份","",0,0,186,""
504,"捷佳伟创","",0,0,187,""
505,"福莱特","",0,0,189,""
506,"伯特利","",0,0,182,""
507,"江淮汽车","",0,0,186,""
508,"中国重工","",0,0,56,""
509,"和胜股份","",0,0,191,""
510,"盛和资源","",0,0,192,""
511,"福田汽车","",0,0,191,""
512,"石英股份","",0,0,194,""
513,"欧科亿","",0,0,195,""
514,"极米科技","",0,0,251,""
515,"神火股份","",0,0,196,""
516,"吉利汽车","",0,0,197,""
517,"恒立液压","",0,0,198,""
518,"淮北矿业","",0,0,200,""
519,"新雷能","",0,0,202,""
520,"平煤股份","",0,0,204,""
521,"睿智医药","",0,0,285,""
522,"中国船舶","",0,0,199,""
523,"小米集团-W","",0,0,205,""
524,"国瓷材料","",0,0,206,""
525,"江西铜业","",0,0,207,""
526,"明微电子","",0,0,201,""
527,"复星医药","",0,0,210,""
528,"派能科技","",0,0,234,""
529,"南亚新材","",0,0,212,""
530,"纳思达","",0,0,214,""
531,"金禾实业","",0,0,215,""
532,"斯达半导","",0,0,216,""
533,"金能科技","",0,0,217,""
534,"一拖股份","",0,0,218,""
535,"华润微","",0,0,223,""
536,"中煤能源","",0,0,219,""
537,"中远海控","",0,0,220,""
538,"维亚生物","",0,0,221,""
539,"泰格医药","",0,0,216,""
540,"苏试试验","",0,0,224,""
541,"石基信息","",0,0,215,""
542,"彤程新材","",0,0,225,""
543,"北京君正","",0,0,226,""
544,"博腾股份","",0,0,220,""
545,"爱美客","",0,0,228,""
546,"万业企业","",0,0,229,""
547,"海 利 得","",0,0,230,""
548,"恒源煤电","",0,0,232,""
549,"未来股份","",0,0,233,""
550,"益丰药房","",0,0,224,""
551,"开滦股份","",0,0,235,""
552,"三环集团","",0,0,208,""
553,"中公教育","",0,0,236,""
554,"司太立","",0,0,245,""
555,"七一二","",0,0,222,""
556,"中国宝安","",0,0,241,""
557,"博通集成","",0,0,242,""
558,"新易盛","",0,0,243,""
559,"全志科技","",0,0,188,""
560,"分众传媒","",0,0,245,""
561,"上机数控","",0,0,247,""
562,"克来机电","",0,0,258,""
563,"东富龙","",0,0,252,""
564,"应流股份","",0,0,253,""
565,"隆平高科","",0,0,262,""
566,"永兴材料","",0,0,203,""
567,"平安银行","",0,0,248,""
568,"创世纪","",0,0,240,""
569,"中国石油","",0,0,258,""
570,"绝味食品","",0,0,259,""
571,"中国石化","",0,0,261,""
572,"锦泓集团","",0,0,262,""
573,"伊利股份","",0,0,263,""
574,"浪潮信息","",0,0,281,""
575,"电科院","",0,0,252,""
576,"神州信息","",0,0,265,""
577,"晶丰明源","",0,0,254,""
578,"力星股份","",0,0,256,""
579,"超图软件","",0,0,269,""
580,"李宁","",0,0,261,""
581,"TCL科技","",0,0,292,""
582,"安踏体育","",0,0,262,""
583,"联创电子","",0,0,273,""
584,"松井股份","",0,0,274,""
585,"闻泰科技","",0,0,275,""
586,"蔚蓝锂芯","",0,0,276,""
587,"震安科技","",0,0,270,""
588,"蓝晓科技","",0,0,277,""
589,"良信股份","",0,0,278,""
590,"志邦家居","",0,0,272,""
591,"坚朗五金","",0,0,280,""
592,"京沪高铁","",0,0,282,""
593,"宝兰德","",0,0,283,""
594,"世华科技","",0,0,267,""
595,"绿的谐波","",0,0,268,""
596,"中国中车","",0,0,284,""
597,"中国联通","",0,0,286,""
598,"欧派家居","",0,0,287,""
599,"彩讯股份","",0,0,288,""
600,"传音控股","",0,0,298,""
601,"新莱应材","",0,0,290,""
602,"山鹰国际","",0,0,272,""
603,"星期六","",0,0,293,""
604,"电连技术","",0,0,294,""
605,"广联达","",0,0,281,""
606,"长电科技","",0,0,299,""
607,"伊之密","",0,0,301,""
608,"朗新科技","",0,0,302,""
609,"药明生物","",0,0,293,""
610,"兖州煤业","",0,0,98,""
611,"光启技术","",0,0,148,""
612,"海南发展","",0,0,231,""
613,"XD山东黄","",0,0,117,""
614,"石头科技","",0,0,273,""
615,"XD宝钛股","",0,0,94,""
616,"XD派能科","",0,0,208,""
617,"鹏鼎控股","",0,0,270,""
618,"工业富联","",0,0,290,""
619,"扬农化工","",0,0,239,""
620,"太阳纸业","",0,0,249,""
621,"鸿路钢构","",0,0,254,""
622,"XD上汽集","",0,0,76,""
623,"宝钢股份","",0,0,89,""
624,"包钢股份","",0,0,123,""
625,"中信特钢","",0,0,163,""
626,"沙钢股份","",0,0,166,""
627,"太钢不锈","",0,0,171,""
628,"华菱钢铁","",0,0,172,""
629,"XD京沪高","",0,0,271,""
630,"重庆钢铁","",0,0,176,""
631,"普利制药","",0,0,238,""
632,"新 和 成","",0,0,244,""
633,"辰安科技","",0,0,246,""
634,"卫宁健康","",0,0,250,""
635,"鼎捷软件","",0,0,255,""
636,"菲利华","",0,0,264,""
637,"科大讯飞","",0,0,271,""
638,"华域汽车","",0,0,295,""
639,"蓝思科技","",0,0,265,""
640,"文灿股份","",0,0,291,""
641,"天铁股份","",0,0,300,""
642,"顺络电子","",0,0,248,""
643,"晨光文具","",0,0,303,""
644,"百润股份","",0,0,251,""
645,"用友网络","",0,0,165,""
646,"金力永磁","",0,0,174,""
647,"海尔智家","",0,0,183,""
648,"XD青岛啤","",0,0,212,""
649,"华天科技","",0,0,250,""
650,"信维通信","",0,0,271,""
651,"东山精密","",0,0,277,""
652,"华贸物流","",0,0,289,""
653,"生益科技","",0,0,286,""
654,"先惠技术","",0,0,295,""
655,"伟思医疗","",0,0,296,""
656,"中信证券","",0,0,271,""
657,"XD中国中","",0,0,283,""
658,"安宁股份","",0,0,297,""
659,"河钢股份","",0,0,209,""
