id,"recovery","start",value
159,"2021-01-05","2020-12-29",-200
160,"2021-01-04","2020-12-28",-200
161,"2021-01-01","2020-12-25",-400
162,"2020-12-31","2020-12-24",-100
163,"2021-01-07","2020-12-24",-300
164,"2020-12-30","2020-12-23",-100
165,"2021-01-06","2020-12-23",-1000
166,"2020-12-29","2020-12-22",-100
167,"2021-01-05","2020-12-22",-1200
168,"2020-12-28","2020-12-21",-100
169,"2021-01-04","2020-12-21",-1000
170,"2020-12-25","2020-12-18",-100
171,"2020-12-24","2020-12-17",-100
172,"2020-12-23","2020-12-16",-100
173,"2020-12-22","2020-12-15",-100
174,"2021-12-15","2020-12-15",-9500
175,"2020-12-21","2020-12-14",-200
176,"2020-12-18","2020-12-11",-100
177,"2020-12-17","2020-12-10",-100
178,"2020-12-16","2020-12-09",-200
179,"2020-12-15","2020-12-08",-600
180,"2020-12-14","2020-12-07",-500
181,"2020-12-11","2020-12-04",-100
182,"2020-12-10","2020-12-03",-100
183,"2020-12-09","2020-12-02",-100
184,"2020-12-08","2020-12-01",-200
185,"2020-12-07","2020-11-30",-1500
186,"2021-11-30","2020-11-30",-2000
187,"2020-12-04","2020-11-27",-1200
188,"2020-12-03","2020-11-26",-800
189,"2020-12-02","2020-11-25",-1200
190,"2020-12-01","2020-11-24",-700
191,"2020-11-30","2020-11-23",-400
192,"2020-11-27","2020-11-20",-800
193,"2020-11-26","2020-11-19",-700
194,"2020-11-25","2020-11-18",-1000
195,"2020-11-24","2020-11-17",-500
196,"2021-11-16","2020-11-16",-8000
197,"2020-11-20","2020-11-13",-1600
198,"2020-11-19","2020-11-12",-1200
199,"2020-11-18","2020-11-11",-1500
200,"2020-11-17","2020-11-10",-1200
201,"2020-11-12","2020-11-05",-300
202,"2020-11-11","2020-11-04",-1200
203,"2020-11-10","2020-11-03",-1200
204,"2020-11-09","2020-11-02",-500
205,"2020-11-06","2020-10-30",-1000
206,"2020-11-05","2020-10-29",-1400
207,"2020-11-04","2020-10-28",-1200
208,"2020-11-03","2020-10-27",-1000
209,"2020-11-02","2020-10-26",-500
210,"2020-10-30","2020-10-23",-700
211,"2020-10-29","2020-10-22",-500
212,"2020-10-28","2020-10-21",-800
213,"2020-10-27","2020-10-20",-700
214,"2020-10-26","2020-10-19",-500
215,"2020-10-23","2020-10-16",-500
216,"2020-10-22","2020-10-15",-500
